???	нсв_есть	есть¹
???	нсв_b/c_клясть	клясть
10	нсв_10c	полоть
10	нсв_10c	пороть
10	нсв_10c	колоть
10	нсв_10c	молоть
10	нсв_10c_R	бороться
10	нсв_10c_R	пороться
10	нсв_10c_R	колоться
11	нсв_11b	шить
11	нсв_11b	бить
11	нсв_11b_R	биться
11	нсв_11b/c	вить
11	нсв_11b/c	пить
11	нсв_11b/c	лить
11	нсв_11b/c''_R	литься
11	нсв_11b/c''_R	виться
11	нсв_11b/c''_R_безл.	питься
12	нсв_12a	греть
12	нсв_12a	брить
12	нсв_12a	дуть
12	нсв_12a_R	греться
12	нсв_12a_R	дуться
12	нсв_12a_R_наст._бре/|юсь,_ется	бриться
12	нсв_12a_ы́ть	мыть
12	нсв_12a_ы́ть	крыть
12	нсв_12a_ы́ть	рыть
12	нсв_12a_ы́ть_R	рыться
12	нсв_12a_ы́ть_R	мыться
12	нсв_12a_ы́ть_R	крыться
12	нсв_12b_R_безл._наст._поётся	петься
12	нсв_12b_наст._пою/,_поёт_прич._страд._наст._нет	петь
13	нсв_13b	передавать¹
13	нсв_13b	додавать
13	нсв_13b	доставать
13	нсв_13b	узнавать
13	нсв_13b	обдавать
13	нсв_13b	допродавать
13	нсв_13b	признавать
13	нсв_13b	издавать
13	нсв_13b	прознавать
13	нсв_13b	сознавать
13	нсв_13b	заставать
13	нсв_13b	продавать
13	нсв_13b	наподдавать¹
13	нсв_13b	выдавать
13	нсв_13b	распознавать
13	нсв_13b	придавать
13	нсв_13b	вызнавать
13	нсв_13b	обставать
13	нсв_13b	задавать
13	нсв_13b	запродавать
13	нсв_13b	поддавать
13	нсв_13b	воздавать
13	нсв_13b	осознавать
13	нсв_13b	разузнавать
13	нсв_13b	воссоздавать
13	нсв_13b	предавать
13	нсв_13b	создавать
13	нсв_13b	давать
13	нсв_13b	перепродавать
13	нсв_13b	пересдавать
13	нсв_13b	предузнавать
13	нсв_13b	раздавать
13	нсв_13b	пересоздавать
13	нсв_13b	сдавать
13	нсв_13b	познавать
13	нсв_13b	переиздавать
13	нсв_13b	наддавать
13	нсв_13b	распродавать
13	нсв_13b	преподавать
13	нсв_13b	недодавать
13	нсв_13b	подавать
13	нсв_13b	отдавать
13	нсв_13b	опознавать
13	нсв_13b_R	доставаться
13	нсв_13b_R	раздаваться
13	нсв_13b_R	засдаваться
13	нсв_13b_R	выдаваться
13	нсв_13b_R	продаваться
13	нсв_13b_R	сознаваться
13	нсв_13b_R	передаваться
13	нсв_13b_R	воссоздаваться
13	нсв_13b_R	признаваться
13	нсв_13b_R	узнаваться
13	нсв_13b_R	поддаваться
13	нсв_13b_R	зазнаваться
13	нсв_13b_R	оставаться
13	нсв_13b_R	расставаться
13	нсв_13b_R	обознаваться
13	нсв_13b_R	даваться
13	нсв_13b_R	отдаваться
13	нсв_13b_R	задаваться¹
13	нсв_13b_R	создаваться
13	нсв_13b_R	вдаваться
13	нсв_13b_R	подаваться
13	нсв_13b_R	запродаваться
13	нсв_13b_R	удаваться
13	нсв_13b_R	дознаваться
13	нсв_13b_R	обдаваться
13	нсв_13b_R	спознаваться
13	нсв_13b_R	задаваться²
13	нсв_13b_R	предаваться
13	нсв_13b_R	познаваться
13	нсв_13b_R	сдаваться
13	нсв_13b_R_безл.	воздаваться
14	нсв_14b_(-м-)_а́ть	жать¹
14	нсв_14b_(-м-)_а́ть_R	жаться
14	нсв_14b_(-н-)_а́ть	жать²
14	нсв_14b_(-н-)_я́ть	мять
14	нсв_14b_(-н-)_я́ть_R	мяться
16	нсв_16b/c''_R_(прош._с_обычно_жило/сь),_безл.	житься
1	нсв_1a	умащать
1	нсв_1a	пересрочивать
1	нсв_1a	размораживать
1	нсв_1a	обжаривать
1	нсв_1a	долизывать
1	нсв_1a	упрощать
1	нсв_1a	стирать²
1	нсв_1a	обремизивать
1	нсв_1a	облуплять
1	нсв_1a	увенчивать
1	нсв_1a	загачивать
1	нсв_1a	заигрывать¹
1	нсв_1a	доваривать
1	нсв_1a	исправлять
1	нсв_1a	смазывать
1	нсв_1a	приурочивать
1	нсв_1a	выкать
1	нсв_1a	подзуживать
1	нсв_1a	водворять
1	нсв_1a	снискивать
1	нсв_1a	отшивать
1	нсв_1a	обновлять
1	нсв_1a	зашлифовывать
1	нсв_1a	истёсывать
1	нсв_1a	облущивать
1	нсв_1a	переучитывать
1	нсв_1a	отстранять
1	нсв_1a	объяснять
1	нсв_1a	перегребать
1	нсв_1a	унавоживать
1	нсв_1a	обусловливать
1	нсв_1a	перепахивать
1	нсв_1a	засобачивать
1	нсв_1a	скашивать
1	нсв_1a	перетаптывать
1	нсв_1a	вкраивать
1	нсв_1a	состёгивать¹
1	нсв_1a	настригать
1	нсв_1a	обобщать
1	нсв_1a	вылавливать
1	нсв_1a	вскрывать
1	нсв_1a	обозначать
1	нсв_1a	отторгать
1	нсв_1a	уваливать²
1	нсв_1a	облёвывать
1	нсв_1a	подкалывать
1	нсв_1a	вскапывать
1	нсв_1a	приживлять
1	нсв_1a	подрессоривать
1	нсв_1a	объединять
1	нсв_1a	выпрокидывать
1	нсв_1a	протранжиривать
1	нсв_1a	подвигать
1	нсв_1a	прочёркивать
1	нсв_1a	сторговывать
1	нсв_1a	загадывать
1	нсв_1a	заворачивать
1	нсв_1a	умерять
1	нсв_1a	подшвыривать
1	нсв_1a	оевропеивать
1	нсв_1a	испоганивать
1	нсв_1a	отглатывать
1	нсв_1a	пропекать
1	нсв_1a	прикатывать²
1	нсв_1a	наполнять
1	нсв_1a	захламливать
1	нсв_1a	навешивать²
1	нсв_1a	обездушивать
1	нсв_1a	уклонять
1	нсв_1a	выслуживать
1	нсв_1a	перевёртывать
1	нсв_1a	ушестерять
1	нсв_1a	выдерживать
1	нсв_1a	пристреливать¹
1	нсв_1a	намежёвывать
1	нсв_1a	сковыривать
1	нсв_1a	утонять
1	нсв_1a	перекармливать
1	нсв_1a	уволакивать
1	нсв_1a	ошпаривать
1	нсв_1a	омывать
1	нсв_1a	пережидать
1	нсв_1a	разодолжать
1	нсв_1a	отсыпать
1	нсв_1a	измерять
1	нсв_1a	приспосабливать
1	нсв_1a	отшпиливать
1	нсв_1a	набавлять
